x,y,z,,,,,,,,,,cnt dist,cnt dist allocation,date and time,,date,time,long,lat
10.42555012,18.00811234,0.025,,,,,,,,,,20.80827252,,,,,,,
3.66889727,2.308464869,0.025,,,,,,,,,,4.334722279,,,,,,,
9.919186856,13.47041835,0.025,,,,,,,,,,16.72849182,,,,,,,
5.111306243,21.95293591,0.025,,,,,,,,,,22.54011638,,,,,,,
10.43262006,13.96724571,0.025,,,,,,,,,,17.43340225,,,,,,,
20.04559848,24.14244879,0.025,,,,,,,,,,31.37967259,,,,,,,
19.65755676,0.064090601,0.025,,,,,,,,,,19.65766124,,,,,,,
21.90972881,22.36516659,0.025,,,,,,,,,,31.30873509,,,,,,,
4.245760489,21.95356259,0.025,,,,,,,,,,22.36035314,,,,,,,
23.94723825,13.32913212,0.025,,,,,,,,,,27.40686015,,,,,,,
17.16252319,20.8656418,0.025,,,,,,,,,,27.0171651,,,,,,,
24.72152722,18.70414136,0.025,,,,,,,,,,30.99998084,,,,,,,
2.580650164,11.19733815,0.025,,,,,,,,,,11.4908719,,,,,,,
7.194383465,3.250714303,0.025,,,,,,,,,,7.894700559,,,,,,,
5.2907029,6.638666484,0.025,,,,,,,,,,8.489018192,,,,,,,
14.35294014,3.668214373,0.025,,,,,,,,,,14.81427309,,,,,,,
2.558360721,10.3513997,0.025,,,,,,,,,,10.66286478,,,,,,,
1.248836474,13.39741015,0.025,,,,,,,,,,13.45548926,,,,,,,
23.6148689,14.66387601,0.025,,,,,,,,,,27.79732528,,,,,,,
3.481908681,20.18478222,0.025,,,,,,,,,,20.48289826,,,,,,,
23.18771451,8.694146494,0.025,,,,,,,,,,24.76405232,,,,,,,
22.08265228,15.59180518,0.025,,,,,,,,,,27.03234952,,,,,,,
6.748197294,22.39715545,0.025,,,,,,,,,,23.39168098,,,,,,,
16.58603745,15.54239301,0.025,,,,,,,,,,22.73021378,,,,,,,
11.24780334,14.45974036,0.025,,,,,,,,,,18.31931143,,,,,,,
22.58448801,14.34198717,0.025,,,,,,,,,,26.75353612,,,,,,,
8.166122544,13.17645256,0.025,,,,,,,,,,15.50175665,,,,,,,
22.71337877,15.58400289,0.025,,,,,,,,,,27.54557535,,,,,,,
17.05577676,24.5248875,0.025,,,,,,,,,,29.87255643,,,,,,,
17.52459198,0.408183764,0.025,,,,,,,,,,17.52934505,,,,,,,
23.31488658,17.42045404,0.025,,,,,,,,,,29.10422916,,,,,,,
18.84690471,23.07561339,0.025,,,,,,,,,,29.79412275,,,,,,,
24.75638894,0.52214607,0.025,,,,,,,,,,24.76189472,,,,,,,
0.740614405,0.6990648,0.025,,,,,,,,,,1.018430798,,,,,,,
21.50069872,13.47077661,0.025,,,,,,,,,,25.37206865,,,,,,,
3.104332878,6.979591975,0.025,,,,,,,,,,7.638821032,,,,,,,
13.94611952,0.708001418,0.025,,,,,,,,,,13.96407948,,,,,,,
14.2589147,24.75818082,0.025,,,,,,,,,,28.57068718,,,,,,,
20.17762989,9.696516102,0.025,,,,,,,,,,22.38658465,,,,,,,
13.90600585,3.411380642,0.025,,,,,,,,,,14.318328,,,,,,,
1.113796964,2.687353228,0.025,,,,,,,,,,2.909022352,,,,,,,
13.2201155,24.93846455,0.025,,,,,,,,,,28.22584751,,,,,,,
14.11959138,0.375434958,0.025,,,,,,,,,,14.12458184,,,,,,,
14.20251155,5.082330867,0.025,,,,,,,,,,15.08447617,,,,,,,
4.885737028,14.53397318,0.025,,,,,,,,,,15.33319284,,,,,,,
5.996193979,12.34424286,0.025,,,,,,,,,,13.72350808,,,,,,,
3.919784866,0.464405054,0.025,,,,,,,,,,3.947199697,,,,,,,
15.15823654,14.22128593,0.025,,,,,,,,,,20.78502125,,,,,,,
14.49363048,9.503529316,0.025,,,,,,,,,,17.33154332,,,,,,,
16.73082234,6.622988942,0.025,,,,,,,,,,17.99401007,,,,,,,
15.74293768,5.254350248,0.025,,,,,,,,,,16.59663469,,,,,,,
6.507877464,20.11886409,0.025,,,,,,,,,,21.14523969,,,,,,,
